package,version,license,level
"coq-vst","dev","https://raw.githubusercontent.com/PrincetonUniversity/VST/master/LICENSE","optional"
"coq-deriving","dev","https://spdx.org/licenses/MIT.html","extended"
"base-bigarray","base","unknown","dependency"
"base-threads","base","unknown","dependency"
"base-unix","base","unknown","dependency"
"cairo2","0.6.2","https://spdx.org/licenses/LGPL-3.0-only.html","dependency"
"camlp5","7.14","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"conf-adwaita-icon-theme","1","https://spdx.org/licenses/LGPL-3.0-only.html,https://spdx.org/licenses/CC-BY-SA-3.0.html","dependency"
"conf-autoconf","0.1","https://spdx.org/licenses/GPL-3.0-only.html","dependency"
"conf-automake","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-bison","2","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-boost","1","https://spdx.org/licenses/MIT.html","dependency"
"conf-cairo","1","https://spdx.org/licenses/LGPL-2.1-only.html,https://spdx.org/licenses/MPL-1.1.html","dependency"
"conf-findutils","1","https://spdx.org/licenses/GPL-3.0-or-later.html","dependency"
"conf-flex","2","https://github.com/westes/flex/blob/master/COPYING","dependency"
"conf-g++","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-gcc","1.0","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"conf-gmp","4","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-gtk3","18","unknown","dependency"
"conf-gtksourceview3","0+2","https://spdx.org/licenses/LGPL-2.1-or-later.html","dependency"
"conf-libtool","1","https://spdx.org/licenses/GPL-3.0-only.html","dependency"
"conf-mpfr","3","https://spdx.org/licenses/LGPL-2.0-or-later.html","dependency"
"conf-perl","2","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-pkg-config","2","https://spdx.org/licenses/GPL-1.0-or-later.html","dependency"
"conf-python-3","9.0.0","PSF","dependency"
"conf-which","1","https://spdx.org/licenses/GPL-2.0-or-later.html","dependency"
"cppo","1.6.8","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"csexp","1.5.1","https://spdx.org/licenses/MIT.html","dependency"
"dune-configurator","2.9.1","https://spdx.org/licenses/MIT.html","dependency"
"dune","2.9.1","https://spdx.org/licenses/MIT.html","dependency"
"elpi","1.13.8","https://spdx.org/licenses/LGPL-2.1-or-later.html","dependency"
"gappa","dev","CECILL","dependency"
"gmp-ecm","7.0.3","https://spdx.org/licenses/GPL-3.0.html,https://spdx.org/licenses/LGPL-3.0.html","dependency"
"lablgtk3-sourceview3","3.1.1","LGPL with linking exception","dependency"
"menhirLib","dev","unknown","dependency"
"menhirSdk","dev","unknown","dependency"
"num","1.4","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"ocaml-base-compiler","4.10.2","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocaml-compiler-libs","v0.12.4","https://spdx.org/licenses/MIT.html","dependency"
"ocaml-config","1","unknown","dependency"
"ocaml-migrate-parsetree","1.8.0","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"ocaml","4.10.2","LGPL-2.1-or-later WITH OCaml-LGPL-linking-exception","dependency"
"ocamlbuild","0.14.0","LGPL-2.1-only WITH OCaml-LGPL-linking-exception","dependency"
"ocamlfind","1.9.2","https://spdx.org/licenses/MIT.html","dependency"
"ocamlgraph","2.0.0","https://spdx.org/licenses/LGPL-2.1-only.html","dependency"
"ppx_derivers","1.2.1","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"ppx_deriving","5.1","https://spdx.org/licenses/MIT.html","dependency"
"re","1.10.3","LGPL-2.0 with OCaml linking exception","dependency"
"result","1.5","https://spdx.org/licenses/BSD-3-Clause.html","dependency"
"seq","base","unknown","dependency"
"sexplib0","v0.14.0","https://spdx.org/licenses/MIT.html","dependency"
"stdlib-shims","0.3.0","typeof OCaml system","dependency"
"z3","4.8.13","https://spdx.org/licenses/MIT.html","dependency"
"zarith","1.12","unknown","dependency"
