category,theme,code,description,count,gold,examples
Type,InvalidTypeConversion,CompileError-TypeCheck-UnknownTypeErrorInCall,Some misc. type error in a function call / initializer / subscript.,200,"problem HumanEval_10_make_palindrome, completion 180",swift_error_examples/CompileError-TypeCheck-UnknownTypeErrorInCall.swift
Static,UndefinedIdentifier,CompileError-InvalidSyntax,Invalid syntax in the completion.,213,"problem HumanEval_160_do_algebra, completion 196",swift_error_examples/CompileError-InvalidSyntax.swift
Type,InvalidTypeConversion,CompileError-TypeMismatch-CollectionAndInner,"Type mismatch between the collection type and element type, e.g. [String] and String.",241,"problem HumanEval_27_flip_case, completion 2",swift_error_examples/CompileError-TypeMismatch-CollectionAndInner.swift
Type,InvalidTypeConversion,CompileError-TypeMismatch-Numerics,Type mismatch between numeric types.,261,"problem HumanEval_66_digitSum, completion 140",swift_error_examples/CompileError-TypeMismatch-Numerics.swift
Runtime,InvalidDataStructureOperation,Exception-InvalidRangeCreation,Invalid range creation.,271,"problem HumanEval_82_prime_length, completion 128",swift_error_examples/Exception-InvalidRangeCreation.swift
Runtime,TimeoutOrInfiniteRecursion,Timeout,Is this runtime or compiler or both?,275,N/A,swift_error_examples/Timeout.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-ArgumentTypeError,The type of an argument to a function does not match the expected type.,303,"problem HumanEval_93_encode, completion 128",swift_error_examples/CompileError-TypeCheck-ArgumentTypeError.swift
Runtime,InvalidDataStructureOperation,Exception-IndexOutOfRange,Index out of range.,330,"problem HumanEval_9_rolling_max, completion 137",swift_error_examples/Exception-IndexOutOfRange.swift
Type,InvalidTypeConversion,CompileError-TypeCheck-ReturnTypeError,The type of the return value does not match the declared return type of the function.,349,"problem HumanEval_27_flip_case, completion 114",swift_error_examples/CompileError-TypeCheck-ReturnTypeError.swift
Type,InvalidTypeConversion,CompileError-TypeMismatch-Else,Type mismatch else case,556,N/A,swift_error_examples/CompileError-TypeMismatch-Else.swift
Static,UndefinedIdentifier,CompileError-NonExistentMethod,An call was made to a non-existent method. **Some cases are caused by translation bug (didnt import Foundation). TODO: classify those cases.**,2582,"problem HumanEval_144_simplify, completion 90 ; problem HumanEval_108_count_nums, completion 110",swift_error_examples/CompileError-NonExistentMethod.swift
Static,UndefinedIdentifier,CompileError-CanNotFindInScope,A reference to a non-existent variable / function.  **Some cases are caused by translation bug (didnt import Foundation). TODO: classify those cases.**,4259,"problem HumanEval_107_even_odd_palindrome, completion 89 ; problem HumanEval_71_triangle_area, completion 38",swift_error_examples/CompileError-CanNotFindInScope.swift
