PROB,Original,List,Array,Bool,Dictionary,Tuple,Notes
HumanEval_26,list,1,0,0,0,0,
HumanEval_27,X,0,0,0,0,0,
HumanEval_28,list,1,0,0,0,0,
HumanEval_29,list,1,0,0,0,0,
HumanEval_3,"list, bool",1,0,1,0,0,
HumanEval_30,list,1,0,0,0,0,
HumanEval_31,bool,0,0,1,0,0,
HumanEval_33,list,1,0,0,0,0,
HumanEval_34,list,1,0,0,0,0,
HumanEval_35,list,1,0,0,0,0,
HumanEval_36,X,0,0,0,0,0,
HumanEval_37,list,1,0,0,0,0,
HumanEval_39,X,0,0,0,0,0,
HumanEval_4,list,1,0,0,0,0,
HumanEval_40,"list, bool",1,0,1,0,0,
HumanEval_41,X,0,0,0,0,0,
HumanEval_42,list,1,0,0,0,0,
HumanEval_43,"list, bool",1,0,1,0,0,
HumanEval_44,X,0,0,0,0,0,
HumanEval_45,X,0,0,0,0,0,
HumanEval_46,X,0,0,0,0,0,
HumanEval_47,list,1,0,0,0,0,
HumanEval_48,X,0,0,0,0,0,
HumanEval_49,X,0,0,0,0,0,numerics???
HumanEval_5,list,1,0,0,0,0,
HumanEval_51,X,0,0,0,0,0,
HumanEval_52,"bool, list",1,0,1,0,0,
HumanEval_53,X,0,0,0,0,0,
HumanEval_54,X,0,0,0,0,0,
HumanEval_55,X,0,0,0,0,0,
HumanEval_56,bool,0,0,1,0,0,
HumanEval_57,"list, bool",1,0,1,0,0,
HumanEval_58,list,1,0,0,0,0,
HumanEval_59,X,0,0,0,0,0,
HumanEval_6,X,0,0,0,0,0,
HumanEval_60,X,0,0,0,0,0,
HumanEval_61,bools,0,0,1,0,0,
HumanEval_62,X,0,0,0,0,0,
HumanEval_63,X,0,0,0,0,0,
HumanEval_64,X,0,0,0,0,0,
HumanEval_65,X,0,0,0,0,0,
HumanEval_66,X,0,0,0,0,0,
HumanEval_67,X,0,0,0,0,0,
HumanEval_68,"array, list",1,1,0,0,0,has list expression in nl
HumanEval_69,list,1,0,0,0,0,
HumanEval_7,list,1,0,0,0,0,
HumanEval_70,list,1,0,0,0,0,
HumanEval_71,X,0,0,0,0,0,
HumanEval_72,"bool, list",1,0,1,0,0,
HumanEval_73,array,0,1,0,0,0,
HumanEval_74,list,1,0,0,0,0,
HumanEval_75,X,0,0,0,0,0,bools but they aren't capitalized and therefore aren't changed
HumanEval_76,bool,0,0,1,0,0,
HumanEval_77,bool,0,0,1,0,0,
HumanEval_78,X,0,0,0,0,0,
HumanEval_79,X,0,0,0,0,0,
HumanEval_8,"list, tuple",1,0,0,0,1,
HumanEval_80,X,0,0,0,0,0,
HumanEval_81,list,1,0,0,0,0,
HumanEval_82,bool,0,0,1,0,0,
HumanEval_83,X,0,0,0,0,0,
HumanEval_84,X,0,0,0,0,0,
HumanEval_85,list,1,0,0,0,0,
HumanEval_86,X,0,0,0,0,0,
HumanEval_87,"list, tuple",1,0,0,0,1,
HumanEval_88,array,0,1,0,0,0,
HumanEval_89,X,0,0,0,0,0,
HumanEval_9,list,1,0,0,0,0,
HumanEval_90,"list, None",1,0,0,0,0,
HumanEval_91,X,0,0,0,0,0,
HumanEval_92,X,0,0,0,0,0,
HumanEval_93,X,0,0,0,0,0,
HumanEval_94,list,1,0,0,0,0,
HumanEval_95,"dictionary, bool",0,0,1,1,0,
HumanEval_96,array,0,1,0,0,0,
HumanEval_97,X,0,0,0,0,0,
HumanEval_98,X,0,0,0,0,0,
HumanEval_99,X,0,0,0,0,0,also uses integer in a mathmematical sense
