BaseDataset,ProblemName,Model,Language,Temperature,NumPassed,NumCompletions
humaneval,HumanEval_82_prime_length,keep,m,0.2,0,20
humaneval,HumanEval_52_below_threshold,keep,m,0.2,0,20
humaneval,HumanEval_22_filter_integers,keep,m,0.2,0,20
humaneval,HumanEval_59_largest_prime_factor,keep,m,0.2,0,20
humaneval,HumanEval_17_parse_music,keep,m,0.2,0,20
humaneval,HumanEval_80_is_happy,keep,m,0.2,0,20
humaneval,HumanEval_68_pluck,keep,m,0.2,0,20
humaneval,HumanEval_127_intersection,keep,m,0.2,0,20
humaneval,HumanEval_96_count_up_to,keep,m,0.2,0,20
humaneval,HumanEval_143_words_in_sentence,keep,m,0.2,0,20
humaneval,HumanEval_140_fix_spaces,keep,m,0.2,0,20
humaneval,HumanEval_138_is_equal_to_sum_even,keep,m,0.2,0,20
humaneval,HumanEval_155_even_odd_count,keep,m,0.2,0,20
humaneval,HumanEval_102_choose_num,keep,m,0.2,0,20
humaneval,HumanEval_84_solve,keep,m,0.2,0,20
humaneval,HumanEval_85_add,keep,m,0.2,0,20
humaneval,HumanEval_46_fib4,keep,m,0.2,0,20
humaneval,HumanEval_146_specialFilter,keep,m,0.2,0,20
humaneval,HumanEval_3_below_zero,keep,m,0.2,0,20
humaneval,HumanEval_63_fibfib,keep,m,0.2,0,20
humaneval,HumanEval_66_digitSum,keep,m,0.2,0,20
humaneval,HumanEval_55_fib,keep,m,0.2,0,20
humaneval,HumanEval_137_compare_one,keep,m,0.2,0,20
humaneval,HumanEval_64_vowels_count,keep,m,0.2,0,20
humaneval,HumanEval_83_starts_one_ends,keep,m,0.2,0,20
humaneval,HumanEval_8_sum_product,keep,m,0.2,0,20
humaneval,HumanEval_142_sum_squares,keep,m,0.2,0,20
humaneval,HumanEval_131_digits,keep,m,0.2,0,20
humaneval,HumanEval_57_monotonic,keep,m,0.2,0,20
humaneval,HumanEval_134_check_if_last_char_is_a_letter,keep,m,0.2,0,20
humaneval,HumanEval_27_flip_case,keep,m,0.2,0,20
humaneval,HumanEval_104_unique_digits,keep,m,0.2,0,20
humaneval,HumanEval_105_by_length,keep,m,0.2,0,20
humaneval,HumanEval_29_filter_by_prefix,keep,m,0.2,0,20
humaneval,HumanEval_10_make_palindrome,keep,m,0.2,0,20
humaneval,HumanEval_5_intersperse,keep,m,0.2,0,20
humaneval,HumanEval_49_modp,keep,m,0.2,0,20
humaneval,HumanEval_126_is_sorted,keep,m,0.2,0,20
humaneval,HumanEval_69_search,keep,m,0.2,0,20
humaneval,HumanEval_114_minSubArraySum,keep,m,0.2,0,20
humaneval,HumanEval_30_get_positive,keep,m,0.2,0,20
humaneval,HumanEval_129_minPath,keep,m,0.2,0,20
humaneval,HumanEval_151_double_the_difference,keep,m,0.2,0,20
humaneval,HumanEval_122_add_elements,keep,m,0.2,0,20
humaneval,HumanEval_150_x_or_y,keep,m,0.2,0,20
humaneval,HumanEval_33_sort_third,keep,m,0.2,0,20
humaneval,HumanEval_91_is_bored,keep,m,0.2,0,20
humaneval,HumanEval_118_get_closest_vowel,keep,m,0.2,0,20
humaneval,HumanEval_103_rounded_avg,keep,m,0.2,0,20
humaneval,HumanEval_67_fruit_distribution,keep,m,0.2,0,20
humaneval,HumanEval_125_split_words,keep,m,0.2,0,20
humaneval,HumanEval_119_match_parens,keep,m,0.2,0,20
humaneval,HumanEval_120_maximum,keep,m,0.2,0,20
humaneval,HumanEval_81_numerical_letter_grade,keep,m,0.2,0,20
humaneval,HumanEval_108_count_nums,keep,m,0.2,0,20
humaneval,HumanEval_149_sorted_list_sum,keep,m,0.2,0,20
humaneval,HumanEval_94_skjkasdkd,keep,m,0.2,0,20
humaneval,HumanEval_163_generate_integers,keep,m,0.2,0,20
humaneval,HumanEval_87_get_row,keep,m,0.2,0,20
humaneval,HumanEval_99_closest_integer,keep,m,0.2,0,20
humaneval,HumanEval_74_total_match,keep,m,0.2,0,20
humaneval,HumanEval_36_fizz_buzz,keep,m,0.2,0,20
humaneval,HumanEval_7_filter_by_substring,keep,m,0.2,0,20
humaneval,HumanEval_43_pairs_sum_to_zero,keep,m,0.2,0,20
humaneval,HumanEval_21_rescale_to_unit,keep,m,0.2,0,20
humaneval,HumanEval_1_separate_paren_groups,keep,m,0.2,0,20
humaneval,HumanEval_77_iscube,keep,m,0.2,0,20
humaneval,HumanEval_128_prod_signs,keep,m,0.2,0,20
humaneval,HumanEval_56_correct_bracketing,keep,m,0.2,0,20
humaneval,HumanEval_147_get_max_triples,keep,m,0.2,0,20
humaneval,HumanEval_72_will_it_fly,keep,m,0.2,0,20
humaneval,HumanEval_28_concatenate,keep,m,0.2,0,20
humaneval,HumanEval_139_special_factorial,keep,m,0.2,0,20
humaneval,HumanEval_159_eat,keep,m,0.2,0,20
humaneval,HumanEval_135_can_arrange,keep,m,0.2,0,20
humaneval,HumanEval_158_find_max,keep,m,0.2,0,20
humaneval,HumanEval_62_derivative,keep,m,0.2,0,20
humaneval,HumanEval_156_int_to_mini_roman,keep,m,0.2,0,20
humaneval,HumanEval_157_right_angle_triangle,keep,m,0.2,0,20
humaneval,HumanEval_133_sum_squares,keep,m,0.2,0,20
humaneval,HumanEval_161_solve,keep,m,0.2,0,20
humaneval,HumanEval_79_decimal_to_binary,keep,m,0.2,0,20
humaneval,HumanEval_97_multiply,keep,m,0.2,0,20
humaneval,HumanEval_95_check_dict_case,keep,m,0.2,0,20
humaneval,HumanEval_111_histogram,keep,m,0.2,0,20
humaneval,HumanEval_78_hex_key,keep,m,0.2,0,20
humaneval,HumanEval_100_make_a_pile,keep,m,0.2,0,20
humaneval,HumanEval_116_sort_array,keep,m,0.2,0,20
humaneval,HumanEval_65_circular_shift,keep,m,0.2,0,20
humaneval,HumanEval_25_factorize,keep,m,0.2,0,20
humaneval,HumanEval_154_cycpattern_check,keep,m,0.2,0,20
humaneval,HumanEval_153_Strongest_Extension,keep,m,0.2,0,20
humaneval,HumanEval_144_simplify,keep,m,0.2,0,20
humaneval,HumanEval_92_any_int,keep,m,0.2,0,20
humaneval,HumanEval_11_string_xor,keep,m,0.2,0,20
humaneval,HumanEval_41_car_race_collision,keep,m,0.2,0,20
humaneval,HumanEval_15_string_sequence,keep,m,0.2,0,20
humaneval,HumanEval_26_remove_duplicates,keep,m,0.2,0,20
humaneval,HumanEval_71_triangle_area,keep,m,0.2,0,20
humaneval,HumanEval_39_prime_fib,keep,m,0.2,0,20
humaneval,HumanEval_9_rolling_max,keep,m,0.2,0,20
humaneval,HumanEval_124_valid_date,keep,m,0.2,0,20
humaneval,HumanEval_0_has_close_elements,keep,m,0.2,0,20
humaneval,HumanEval_37_sort_even,keep,m,0.2,0,20
humaneval,HumanEval_19_sort_numbers,keep,m,0.2,0,20
humaneval,HumanEval_14_all_prefixes,keep,m,0.2,0,20
humaneval,HumanEval_121_solution,keep,m,0.2,0,20
humaneval,HumanEval_152_compare,keep,m,0.2,0,20
humaneval,HumanEval_53_add,keep,m,0.2,0,20
humaneval,HumanEval_76_is_simple_power,keep,m,0.2,0,20
humaneval,HumanEval_113_odd_count,keep,m,0.2,0,20
humaneval,HumanEval_48_is_palindrome,keep,m,0.2,0,20
humaneval,HumanEval_31_is_prime,keep,m,0.2,0,20
humaneval,HumanEval_112_reverse_delete,keep,m,0.2,0,20
humaneval,HumanEval_90_next_smallest,keep,m,0.2,0,20
humaneval,HumanEval_51_remove_vowels,keep,m,0.2,0,20
humaneval,HumanEval_89_encrypt,keep,m,0.2,0,20
humaneval,HumanEval_45_triangle_area,keep,m,0.2,0,20
humaneval,HumanEval_132_is_nested,keep,m,0.2,0,20
humaneval,HumanEval_61_correct_bracketing,keep,m,0.2,0,20
