problem,pass,total
HumanEval_62_derivative,125,200
HumanEval_63_fibfib,147,200
HumanEval_64_vowels_count,11,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,2,200
HumanEval_67_fruit_distribution,13,200
HumanEval_68_pluck,164,200
HumanEval_69_search,0,200
HumanEval_7_filter_by_substring,162,200
HumanEval_70_strange_sort_list,5,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,136,200
HumanEval_73_smallest_change,185,200
HumanEval_74_total_match,160,200
HumanEval_75_is_multiply_prime,16,200
HumanEval_76_is_simple_power,60,200
HumanEval_77_iscube,36,200
HumanEval_78_hex_key,159,200
HumanEval_79_decimal_to_binary,59,200
HumanEval_8_sum_product,193,200
HumanEval_80_is_happy,27,200
HumanEval_81_numerical_letter_grade,190,200
HumanEval_82_prime_length,142,200
HumanEval_83_starts_one_ends,1,200
HumanEval_84_solve,87,200
HumanEval_85_add,136,200
HumanEval_86_anti_shuffle,29,200
HumanEval_87_get_row,108,200
HumanEval_88_sort_array,0,200
HumanEval_89_encrypt,2,200
HumanEval_9_rolling_max,71,200
HumanEval_90_next_smallest,156,200
HumanEval_91_is_bored,6,200
HumanEval_92_any_int,135,200
HumanEval_93_encode,2,200
HumanEval_94_skjkasdkd,74,200
HumanEval_95_check_dict_case,14,200
HumanEval_96_count_up_to,117,200
HumanEval_97_multiply,200,200
HumanEval_98_count_upper,118,200
HumanEval_99_closest_integer,3,200
