Langauge,ProblemName,NumPassed,NumCompletions
Haskell,HumanEval_39_prime_fib,0,30
Haskell,HumanEval_139_special_factorial,0,30
Haskell,HumanEval_52_below_threshold,30,30
Haskell,HumanEval_94_skjkasdkd,0,30
Haskell,HumanEval_150_x_or_y,0,30
Haskell,HumanEval_138_is_equal_to_sum_even,0,30
Haskell,HumanEval_76_is_simple_power,0,30
Haskell,HumanEval_35_max_element,30,30
Haskell,HumanEval_89_encrypt,0,30
Haskell,HumanEval_112_reverse_delete,0,30
Haskell,HumanEval_30_get_positive,24,30
Haskell,HumanEval_3_below_zero,0,30
Haskell,HumanEval_23_strlen,30,30
Haskell,HumanEval_90_next_smallest,0,30
Haskell,HumanEval_117_select_words,0,30
Haskell,HumanEval_83_starts_one_ends,0,30
Haskell,HumanEval_109_move_one_ball,0,30
Haskell,HumanEval_75_is_multiply_prime,0,30
Haskell,HumanEval_155_even_odd_count,0,30
Haskell,HumanEval_145_order_by_points,0,30
Haskell,HumanEval_160_do_algebra,0,30
Haskell,HumanEval_13_greatest_common_divisor,15,30
Haskell,HumanEval_12_longest,0,30
Haskell,HumanEval_140_fix_spaces,0,30
Haskell,HumanEval_88_sort_array,0,30
Haskell,HumanEval_116_sort_array,0,30
Haskell,HumanEval_24_largest_divisor,0,30
Haskell,HumanEval_61_correct_bracketing,0,30
Haskell,HumanEval_36_fizz_buzz,0,30
Haskell,HumanEval_5_intersperse,0,30
Haskell,HumanEval_31_is_prime,2,30
Haskell,HumanEval_25_factorize,0,30
Haskell,HumanEval_134_check_if_last_char_is_a_letter,0,30
Haskell,HumanEval_149_sorted_list_sum,0,30
Haskell,HumanEval_65_circular_shift,0,30
Haskell,HumanEval_1_separate_paren_groups,0,30
Haskell,HumanEval_158_find_max,0,30
Haskell,HumanEval_54_same_chars,0,30
Haskell,HumanEval_87_get_row,0,30
Haskell,HumanEval_73_smallest_change,0,30
Haskell,HumanEval_19_sort_numbers,0,30
Haskell,HumanEval_123_get_odd_collatz,0,30
Haskell,HumanEval_48_is_palindrome,30,30
Haskell,HumanEval_128_prod_signs,0,30
Haskell,HumanEval_97_multiply,0,30
Haskell,HumanEval_136_largest_smallest_integers,0,30
Haskell,HumanEval_96_count_up_to,0,30
Haskell,HumanEval_18_how_many_times,0,30
Haskell,HumanEval_81_numerical_letter_grade,0,30
Haskell,HumanEval_120_maximum,0,30
Haskell,HumanEval_4_mean_absolute_deviation,11,30
Haskell,HumanEval_142_sum_squares,0,30
Haskell,HumanEval_10_make_palindrome,0,30
Haskell,HumanEval_163_generate_integers,0,30
Haskell,HumanEval_41_car_race_collision,0,30
Haskell,HumanEval_129_minPath,0,30
