problem,pass,total
HumanEval_49_modp,0,200
HumanEval_5_intersperse,178,200
HumanEval_51_remove_vowels,105,200
HumanEval_52_below_threshold,200,200
HumanEval_53_add,200,200
HumanEval_54_same_chars,0,200
HumanEval_55_fib,193,200
HumanEval_56_correct_bracketing,0,200
HumanEval_57_monotonic,8,200
HumanEval_58_common,17,200
HumanEval_59_largest_prime_factor,0,200
HumanEval_6_parse_nested_parens,1,200
HumanEval_60_sum_to_n,199,200
HumanEval_61_correct_bracketing,0,200
HumanEval_62_derivative,124,200
HumanEval_63_fibfib,175,200
HumanEval_64_vowels_count,6,200
HumanEval_65_circular_shift,2,200
HumanEval_66_digitSum,126,200
HumanEval_67_fruit_distribution,0,200
HumanEval_68_pluck,1,200
HumanEval_69_search,0,200
HumanEval_7_filter_by_substring,200,200
HumanEval_70_strange_sort_list,0,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,42,200
HumanEval_73_smallest_change,0,200
HumanEval_74_total_match,0,200
HumanEval_75_is_multiply_prime,9,200
HumanEval_76_is_simple_power,67,200
HumanEval_77_iscube,0,200
HumanEval_78_hex_key,15,200
HumanEval_79_decimal_to_binary,0,200
HumanEval_8_sum_product,163,200
HumanEval_80_is_happy,22,200
HumanEval_81_numerical_letter_grade,133,200
HumanEval_82_prime_length,11,200
HumanEval_83_starts_one_ends,2,200
HumanEval_84_solve,0,200
HumanEval_85_add,17,200
HumanEval_86_anti_shuffle,119,200
HumanEval_87_get_row,0,200
HumanEval_88_sort_array,0,200
HumanEval_89_encrypt,1,200
HumanEval_9_rolling_max,43,200
HumanEval_90_next_smallest,5,200
HumanEval_91_is_bored,0,200
HumanEval_92_any_int,0,200
HumanEval_93_encode,17,200
HumanEval_94_skjkasdkd,0,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,1,200
HumanEval_97_multiply,150,200
HumanEval_98_count_upper,49,200
HumanEval_99_closest_integer,2,200
