problem,pass,total
HumanEval_55_fib,133,200
HumanEval_56_correct_bracketing,22,200
HumanEval_57_monotonic,15,200
HumanEval_58_common,38,200
HumanEval_59_largest_prime_factor,50,200
HumanEval_6_parse_nested_parens,1,200
HumanEval_60_sum_to_n,171,200
HumanEval_61_correct_bracketing,26,200
HumanEval_62_derivative,52,200
HumanEval_63_fibfib,95,200
HumanEval_64_vowels_count,6,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,74,200
HumanEval_67_fruit_distribution,2,200
HumanEval_68_pluck,8,200
HumanEval_69_search,14,200
HumanEval_7_filter_by_substring,84,200
HumanEval_70_strange_sort_list,0,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,44,200
HumanEval_73_smallest_change,82,200
HumanEval_74_total_match,30,200
HumanEval_75_is_multiply_prime,1,200
HumanEval_76_is_simple_power,59,200
HumanEval_77_iscube,12,200
HumanEval_78_hex_key,45,200
HumanEval_79_decimal_to_binary,65,200
HumanEval_8_sum_product,139,200
HumanEval_80_is_happy,16,200
HumanEval_81_numerical_letter_grade,39,200
HumanEval_82_prime_length,39,200
HumanEval_83_starts_one_ends,1,200
HumanEval_84_solve,26,200
HumanEval_85_add,41,200
HumanEval_86_anti_shuffle,1,200
HumanEval_87_get_row,2,200
HumanEval_88_sort_array,36,200
HumanEval_89_encrypt,8,200
HumanEval_9_rolling_max,31,200
HumanEval_90_next_smallest,16,200
HumanEval_91_is_bored,1,200
HumanEval_92_any_int,5,200
HumanEval_93_encode,4,200
HumanEval_94_skjkasdkd,46,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,9,200
HumanEval_97_multiply,46,200
HumanEval_98_count_upper,15,200
HumanEval_99_closest_integer,0,200
