problem,pass,total
HumanEval_6_parse_nested_parens,41,200
HumanEval_60_sum_to_n,199,200
HumanEval_61_correct_bracketing,46,200
HumanEval_62_derivative,69,200
HumanEval_63_fibfib,97,200
HumanEval_64_vowels_count,11,200
HumanEval_65_circular_shift,4,200
HumanEval_66_digitSum,199,200
HumanEval_67_fruit_distribution,9,200
HumanEval_68_pluck,51,200
HumanEval_69_search,28,200
HumanEval_7_filter_by_substring,21,200
HumanEval_70_strange_sort_list,10,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,153,200
HumanEval_73_smallest_change,182,200
HumanEval_74_total_match,126,200
HumanEval_75_is_multiply_prime,3,200
HumanEval_76_is_simple_power,60,200
HumanEval_77_iscube,32,200
HumanEval_78_hex_key,129,200
HumanEval_79_decimal_to_binary,33,200
HumanEval_8_sum_product,176,200
HumanEval_80_is_happy,130,200
HumanEval_81_numerical_letter_grade,185,200
HumanEval_82_prime_length,114,200
HumanEval_83_starts_one_ends,4,200
HumanEval_84_solve,140,200
HumanEval_85_add,183,200
HumanEval_86_anti_shuffle,3,200
HumanEval_87_get_row,25,200
HumanEval_88_sort_array,14,200
HumanEval_89_encrypt,54,200
HumanEval_9_rolling_max,31,200
HumanEval_90_next_smallest,7,200
HumanEval_91_is_bored,1,200
HumanEval_92_any_int,1,200
HumanEval_93_encode,31,200
HumanEval_94_skjkasdkd,116,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,29,200
HumanEval_97_multiply,177,200
HumanEval_98_count_upper,178,200
HumanEval_99_closest_integer,0,200
