problem,pass,total
HumanEval_29_filter_by_prefix,176,200
HumanEval_3_below_zero,73,200
HumanEval_30_get_positive,140,200
HumanEval_31_is_prime,105,200
HumanEval_33_sort_third,0,200
HumanEval_34_unique,22,200
HumanEval_35_max_element,170,200
HumanEval_36_fizz_buzz,23,200
HumanEval_37_sort_even,1,200
HumanEval_39_prime_fib,1,200
HumanEval_4_mean_absolute_deviation,72,200
HumanEval_40_triples_sum_to_zero,10,200
HumanEval_41_car_race_collision,5,200
HumanEval_42_incr_list,183,200
HumanEval_43_pairs_sum_to_zero,46,200
HumanEval_44_change_base,100,200
HumanEval_45_triangle_area,104,200
HumanEval_46_fib4,37,200
HumanEval_47_median,6,200
HumanEval_48_is_palindrome,91,200
HumanEval_49_modp,47,200
HumanEval_5_intersperse,103,200
HumanEval_51_remove_vowels,80,200
HumanEval_52_below_threshold,105,200
HumanEval_53_add,200,200
HumanEval_54_same_chars,3,200
HumanEval_55_fib,161,200
HumanEval_56_correct_bracketing,26,200
HumanEval_57_monotonic,10,200
HumanEval_58_common,41,200
HumanEval_59_largest_prime_factor,48,200
HumanEval_6_parse_nested_parens,4,200
HumanEval_60_sum_to_n,182,200
HumanEval_61_correct_bracketing,32,200
HumanEval_62_derivative,14,200
HumanEval_63_fibfib,105,200
HumanEval_64_vowels_count,3,200
HumanEval_65_circular_shift,0,200
HumanEval_66_digitSum,76,200
HumanEval_67_fruit_distribution,1,200
HumanEval_68_pluck,11,200
HumanEval_69_search,12,200
HumanEval_7_filter_by_substring,93,200
HumanEval_70_strange_sort_list,0,200
HumanEval_71_triangle_area,1,200
HumanEval_72_will_it_fly,30,200
HumanEval_73_smallest_change,53,200
HumanEval_74_total_match,19,200
HumanEval_75_is_multiply_prime,3,200
HumanEval_76_is_simple_power,57,200
HumanEval_77_iscube,14,200
HumanEval_78_hex_key,39,200
HumanEval_79_decimal_to_binary,63,200
HumanEval_8_sum_product,130,200
HumanEval_80_is_happy,16,200
HumanEval_81_numerical_letter_grade,38,200
HumanEval_82_prime_length,34,200
HumanEval_83_starts_one_ends,0,200
HumanEval_84_solve,38,200
HumanEval_85_add,43,200
HumanEval_86_anti_shuffle,1,200
HumanEval_87_get_row,0,200
HumanEval_88_sort_array,15,200
HumanEval_89_encrypt,6,200
HumanEval_9_rolling_max,31,200
HumanEval_90_next_smallest,6,200
HumanEval_91_is_bored,0,200
HumanEval_92_any_int,13,200
HumanEval_93_encode,0,200
HumanEval_94_skjkasdkd,39,200
HumanEval_95_check_dict_case,2,200
HumanEval_96_count_up_to,9,200
HumanEval_97_multiply,51,200
HumanEval_98_count_upper,18,200
HumanEval_99_closest_integer,1,200
