problem,pass,total
HumanEval_34_unique,51,200
HumanEval_35_max_element,200,200
HumanEval_36_fizz_buzz,48,200
HumanEval_37_sort_even,4,200
HumanEval_39_prime_fib,1,200
HumanEval_4_mean_absolute_deviation,119,200
HumanEval_40_triples_sum_to_zero,125,200
HumanEval_41_car_race_collision,200,200
HumanEval_42_incr_list,200,200
HumanEval_43_pairs_sum_to_zero,199,200
HumanEval_44_change_base,180,200
HumanEval_45_triangle_area,122,200
HumanEval_46_fib4,96,200
HumanEval_47_median,27,200
HumanEval_48_is_palindrome,45,200
HumanEval_49_modp,114,200
HumanEval_5_intersperse,165,200
HumanEval_51_remove_vowels,61,200
HumanEval_52_below_threshold,199,200
HumanEval_53_add,200,200
HumanEval_54_same_chars,3,200
HumanEval_55_fib,191,200
HumanEval_56_correct_bracketing,0,200
HumanEval_57_monotonic,41,200
HumanEval_58_common,66,200
HumanEval_59_largest_prime_factor,191,200
HumanEval_6_parse_nested_parens,148,200
HumanEval_60_sum_to_n,200,200
HumanEval_61_correct_bracketing,0,200
HumanEval_62_derivative,179,200
HumanEval_63_fibfib,134,200
HumanEval_64_vowels_count,53,200
HumanEval_65_circular_shift,3,200
HumanEval_66_digitSum,176,200
HumanEval_67_fruit_distribution,115,200
HumanEval_68_pluck,76,200
HumanEval_69_search,177,200
HumanEval_7_filter_by_substring,181,200
HumanEval_70_strange_sort_list,108,200
HumanEval_71_triangle_area,0,200
HumanEval_72_will_it_fly,97,200
HumanEval_73_smallest_change,84,200
HumanEval_74_total_match,175,200
HumanEval_75_is_multiply_prime,15,200
HumanEval_76_is_simple_power,67,200
HumanEval_77_iscube,29,200
HumanEval_78_hex_key,61,200
HumanEval_79_decimal_to_binary,155,200
HumanEval_8_sum_product,181,200
HumanEval_80_is_happy,172,200
HumanEval_81_numerical_letter_grade,199,200
HumanEval_82_prime_length,109,200
HumanEval_83_starts_one_ends,2,200
HumanEval_84_solve,151,200
HumanEval_85_add,63,200
HumanEval_86_anti_shuffle,17,200
HumanEval_87_get_row,3,200
HumanEval_88_sort_array,125,200
HumanEval_89_encrypt,47,200
HumanEval_9_rolling_max,199,200
HumanEval_90_next_smallest,3,200
HumanEval_91_is_bored,3,200
HumanEval_92_any_int,117,200
HumanEval_93_encode,12,200
HumanEval_94_skjkasdkd,37,200
HumanEval_95_check_dict_case,33,200
HumanEval_96_count_up_to,173,200
HumanEval_97_multiply,197,200
HumanEval_98_count_upper,40,200
HumanEval_99_closest_integer,148,200
