lang,problem,model,experiment,pass@1,pass@10,pass@100
rs,HumanEval_145_order_by_points,davinci,keep,0.00,NA,NA
go,HumanEval_3_below_zero,incoder,keep,0.32,NA,NA
scala,HumanEval_147_get_max_triples,incoder,keep,0.00,NA,NA
d,HumanEval_127_intersection,davinci,transform,0.00,NA,NA
cpp,HumanEval_22_filter_integers,incoder,transform,0.00,NA,NA
rkt,HumanEval_70_strange_sort_list,incoder,reworded,0.00,0.00,0.00
jl,HumanEval_116_sort_array,incoder,keep,0.00,NA,NA
php,HumanEval_70_strange_sort_list,incoder,transform,0.00,NA,NA
d,HumanEval_64_vowels_count,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_128_prod_signs,incoder,transform,0.01,NA,NA
cpp,HumanEval_103_rounded_avg,incoder,remove,0.00,NA,NA
jl,HumanEval_57_monotonic,incoder,reworded,0.00,0.00,0.00
ts,HumanEval_124_valid_date,incoder,reworded,0.00,0.10,0.75
go,HumanEval_95_check_dict_case,incoder,remove,0.00,NA,NA
jl,HumanEval_17_parse_music,davinci,keep,0.54,NA,NA
js,HumanEval_34_unique,incoder,remove,0.00,NA,NA
r,HumanEval_144_simplify,incoder,remove,0.00,NA,NA
scala,HumanEval_12_longest,davinci,remove,0.00,NA,NA
go,HumanEval_120_maximum,incoder,remove,0.00,NA,NA
lua,HumanEval_112_reverse_delete,incoder,reworded,0.00,0.00,0.00
r,HumanEval_116_sort_array,incoder,keep,0.00,NA,NA
d,HumanEval_68_pluck,incoder,keep,0.00,NA,NA
pl,HumanEval_26_remove_duplicates,incoder,keep,0.00,NA,NA
pl,HumanEval_66_digitSum,davinci,keep,0.95,NA,NA
js,HumanEval_61_correct_bracketing,davinci,keep,1.00,NA,NA
ts,HumanEval_63_fibfib,davinci,keep,0.98,NA,NA
jl,HumanEval_75_is_multiply_prime,incoder,transform,0.00,NA,NA
java,HumanEval_26_remove_duplicates,davinci,remove,0.02,NA,NA
java,HumanEval_3_below_zero,davinci,transform,0.99,NA,NA
php,HumanEval_102_choose_num,davinci,remove,0.50,NA,NA
go,HumanEval_126_is_sorted,incoder,keep,0.00,NA,NA
php,HumanEval_28_concatenate,incoder,reworded,1.00,1.00,1.00
lua,HumanEval_109_move_one_ball,incoder,transform,0.00,NA,NA
rb,HumanEval_144_simplify,davinci,transform,0.01,NA,NA
php,HumanEval_120_maximum,davinci,keep,0.07,NA,NA
rkt,HumanEval_149_sorted_list_sum,davinci,reworded,0.00,0.05,0.50
r,HumanEval_138_is_equal_to_sum_even,incoder,keep,0.00,NA,NA
cs,HumanEval_156_int_to_mini_roman,davinci,remove,0.76,NA,NA
rb,HumanEval_25_factorize,davinci,remove,0.95,NA,NA
sh,HumanEval_88_sort_array,incoder,remove,0.00,NA,NA
rkt,HumanEval_147_get_max_triples,davinci,remove,0.07,NA,NA
rb,HumanEval_2_truncate_number,davinci,remove,0.02,NA,NA
d,HumanEval_60_sum_to_n,davinci,keep,1.00,NA,NA
go,HumanEval_98_count_upper,incoder,transform,0.10,NA,NA
r,HumanEval_141_file_name_check,davinci,reworded,0.00,0.05,0.50
php,HumanEval_58_common,incoder,keep,0.02,NA,NA
rb,HumanEval_97_multiply,incoder,keep,0.00,NA,NA
scala,HumanEval_111_histogram,incoder,remove,0.00,NA,NA
rkt,HumanEval_81_numerical_letter_grade,davinci,remove,0.00,NA,NA
go,HumanEval_96_count_up_to,incoder,reworded,0.00,0.00,0.00
swift,HumanEval_43_pairs_sum_to_zero,davinci,transform,0.95,NA,NA
r,HumanEval_150_x_or_y,incoder,keep,0.00,NA,NA
r,HumanEval_79_decimal_to_binary,incoder,transform,0.00,NA,NA
go,HumanEval_155_even_odd_count,incoder,transform,0.00,NA,NA
r,HumanEval_2_truncate_number,davinci,reworded,0.96,1.00,1.00
jl,HumanEval_129_minPath,davinci,reworded,0.00,0.00,0.00
swift,HumanEval_162_string_to_md5,incoder,reworded,0.00,0.00,0.00
swift,HumanEval_89_encrypt,davinci,remove,0.37,NA,NA
py,HumanEval_62_derivative,davinci,keep,0.83,NA,NA
py,HumanEval_104_unique_digits,davinci,transform,0.17,NA,NA
go,HumanEval_148_bf,incoder,transform,0.00,NA,NA
pl,HumanEval_13_greatest_common_divisor,incoder,remove,0.22,NA,NA
rb,HumanEval_111_histogram,incoder,keep,0.00,NA,NA
r,HumanEval_143_words_in_sentence,davinci,reworded,0.00,0.31,0.99
rb,HumanEval_0_has_close_elements,incoder,keep,0.00,NA,NA
py,HumanEval_3_below_zero,incoder,keep,0.00,NA,NA
rs,HumanEval_33_sort_third,davinci,remove,0.00,NA,NA
lua,HumanEval_46_fib4,davinci,keep,0.51,NA,NA
py,HumanEval_63_fibfib,incoder,reworded,0.41,0.87,1.00
php,HumanEval_147_get_max_triples,incoder,transform,0.00,NA,NA
py,HumanEval_86_anti_shuffle,incoder,transform,0.03,NA,NA
cpp,HumanEval_28_concatenate,incoder,transform,1.00,NA,NA
r,HumanEval_130_tri,davinci,transform,0.00,NA,NA
pl,HumanEval_105_by_length,davinci,transform,0.35,NA,NA
rb,HumanEval_96_count_up_to,incoder,transform,0.00,NA,NA
php,HumanEval_37_sort_even,davinci,remove,0.41,NA,NA
cpp,HumanEval_141_file_name_check,davinci,reworded,0.37,0.88,1.00
rs,HumanEval_55_fib,incoder,reworded,0.60,0.93,1.00
r,HumanEval_29_filter_by_prefix,incoder,transform,0.00,NA,NA
php,HumanEval_17_parse_music,davinci,remove,0.01,NA,NA
scala,HumanEval_106_f,incoder,reworded,0.00,0.00,0.00
rs,HumanEval_142_sum_squares,davinci,transform,1.00,NA,NA
js,HumanEval_74_total_match,davinci,keep,0.50,NA,NA
php,HumanEval_124_valid_date,davinci,reworded,0.97,1.00,1.00
jl,HumanEval_48_is_palindrome,incoder,keep,0.00,NA,NA
go,HumanEval_73_smallest_change,incoder,keep,0.00,NA,NA
go,HumanEval_52_below_threshold,davinci,remove,1.00,NA,NA
r,HumanEval_72_will_it_fly,incoder,reworded,0.03,0.10,0.75
php,HumanEval_9_rolling_max,incoder,reworded,0.03,0.19,0.94
scala,HumanEval_129_minPath,incoder,keep,0.00,NA,NA
sh,HumanEval_55_fib,incoder,reworded,0.00,0.05,0.50
cs,HumanEval_162_string_to_md5,incoder,reworded,0.00,0.00,0.00
sh,HumanEval_95_check_dict_case,incoder,reworded,0.00,0.00,0.00
java,HumanEval_29_filter_by_prefix,incoder,keep,1.00,NA,NA
lua,HumanEval_81_numerical_letter_grade,davinci,keep,0.03,NA,NA
swift,HumanEval_113_odd_count,davinci,keep,0.21,NA,NA
cpp,HumanEval_151_double_the_difference,incoder,keep,0.00,NA,NA
js,HumanEval_12_longest,incoder,reworded,0.70,0.93,1.00
swift,HumanEval_29_filter_by_prefix,davinci,keep,1.00,NA,NA
ts,HumanEval_124_valid_date,incoder,keep,0.02,NA,NA
java,HumanEval_128_prod_signs,davinci,transform,0.00,NA,NA
go,HumanEval_7_filter_by_substring,davinci,transform,0.00,NA,NA
lua,HumanEval_116_sort_array,incoder,transform,0.00,NA,NA
swift,HumanEval_117_select_words,incoder,transform,0.00,NA,NA
rb,HumanEval_87_get_row,incoder,remove,0.00,NA,NA
scala,HumanEval_19_sort_numbers,davinci,remove,0.00,NA,NA
java,HumanEval_135_can_arrange,incoder,transform,0.02,NA,NA
java,HumanEval_70_strange_sort_list,incoder,keep,0.00,NA,NA
r,HumanEval_17_parse_music,incoder,keep,0.00,NA,NA
rkt,HumanEval_69_search,davinci,remove,0.03,NA,NA
d,HumanEval_96_count_up_to,davinci,keep,0.29,NA,NA
rb,HumanEval_34_unique,davinci,remove,1.00,NA,NA
php,HumanEval_78_hex_key,davinci,transform,0.81,NA,NA
rkt,HumanEval_20_find_closest_elements,davinci,reworded,0.02,0.00,0.00
sh,HumanEval_86_anti_shuffle,incoder,reworded,0.00,0.00,0.00
rs,HumanEval_105_by_length,davinci,reworded,0.97,1.00,1.00
jl,HumanEval_92_any_int,davinci,reworded,0.00,0.00,0.00
cs,HumanEval_9_rolling_max,incoder,reworded,0.00,0.00,0.00
js,HumanEval_51_remove_vowels,incoder,keep,0.00,NA,NA
r,HumanEval_86_anti_shuffle,incoder,keep,0.00,NA,NA
java,HumanEval_47_median,incoder,transform,0.00,NA,NA
pl,HumanEval_160_do_algebra,incoder,keep,0.01,NA,NA
sh,HumanEval_72_will_it_fly,incoder,transform,0.00,NA,NA
php,HumanEval_107_even_odd_palindrome,davinci,transform,0.07,NA,NA
d,HumanEval_146_specialFilter,davinci,remove,0.02,NA,NA
sh,HumanEval_68_pluck,davinci,remove,0.02,NA,NA
scala,HumanEval_2_truncate_number,incoder,remove,0.05,NA,NA
go,HumanEval_92_any_int,incoder,keep,0.00,NA,NA
rs,HumanEval_150_x_or_y,davinci,keep,0.00,NA,NA
rb,HumanEval_18_how_many_times,incoder,transform,0.00,NA,NA
js,HumanEval_53_add,incoder,transform,1.00,NA,NA
sh,HumanEval_36_fizz_buzz,incoder,keep,0.00,NA,NA
sh,HumanEval_110_exchange,davinci,reworded,0.01,0.47,1.00
jl,HumanEval_96_count_up_to,incoder,transform,0.00,NA,NA
go,HumanEval_122_add_elements,davinci,reworded,0.95,1.00,1.00
ts,HumanEval_53_add,davinci,reworded,1.00,1.00,1.00
pl,HumanEval_65_circular_shift,davinci,transform,0.18,NA,NA
cs,HumanEval_57_monotonic,davinci,keep,0.99,NA,NA
js,HumanEval_35_max_element,davinci,reworded,1.00,1.00,1.00
swift,HumanEval_62_derivative,davinci,reworded,0.95,1.00,1.00
cs,HumanEval_42_incr_list,davinci,remove,0.00,NA,NA
lua,HumanEval_128_prod_signs,incoder,reworded,0.00,0.00,0.00
go,HumanEval_129_minPath,davinci,keep,0.00,NA,NA
go,HumanEval_123_get_odd_collatz,incoder,keep,0.00,NA,NA
php,HumanEval_3_below_zero,davinci,transform,1.00,NA,NA
d,HumanEval_115_max_fill,davinci,reworded,0.03,0.31,0.99
py,HumanEval_34_unique,incoder,remove,0.22,NA,NA
php,HumanEval_44_change_base,davinci,keep,1.00,NA,NA
js,HumanEval_72_will_it_fly,davinci,remove,0.57,NA,NA
java,HumanEval_68_pluck,incoder,transform,0.00,NA,NA
rs,HumanEval_124_valid_date,davinci,remove,0.37,NA,NA
go,HumanEval_97_multiply,incoder,remove,0.00,NA,NA
php,HumanEval_163_generate_integers,davinci,reworded,0.00,0.05,0.50
lua,HumanEval_40_triples_sum_to_zero,davinci,transform,0.60,NA,NA
py,HumanEval_45_triangle_area,davinci,reworded,1.00,1.00,1.00
cpp,HumanEval_74_total_match,incoder,keep,0.00,NA,NA
rkt,HumanEval_91_is_bored,incoder,transform,0.00,NA,NA
lua,HumanEval_31_is_prime,incoder,remove,0.06,NA,NA
pl,HumanEval_113_odd_count,davinci,keep,0.01,NA,NA
cpp,HumanEval_49_modp,incoder,reworded,0.00,0.05,0.50
ts,HumanEval_43_pairs_sum_to_zero,incoder,keep,0.32,NA,NA
go,HumanEval_24_largest_divisor,davinci,keep,1.00,NA,NA
cpp,HumanEval_43_pairs_sum_to_zero,davinci,keep,0.95,NA,NA
cs,HumanEval_101_words_string,incoder,transform,0.00,NA,NA
r,HumanEval_14_all_prefixes,davinci,transform,0.00,NA,NA
sh,HumanEval_148_bf,incoder,transform,0.00,NA,NA
go,HumanEval_82_prime_length,incoder,keep,0.00,NA,NA
cs,HumanEval_105_by_length,davinci,transform,0.00,NA,NA
sh,HumanEval_117_select_words,davinci,transform,0.08,NA,NA
lua,HumanEval_31_is_prime,davinci,transform,1.00,NA,NA
cpp,HumanEval_119_match_parens,davinci,reworded,0.01,0.00,0.00
cpp,HumanEval_66_digitSum,incoder,reworded,0.00,0.19,0.94
jl,HumanEval_9_rolling_max,davinci,keep,0.16,NA,NA
php,HumanEval_128_prod_signs,incoder,keep,0.00,NA,NA
sh,HumanEval_70_strange_sort_list,davinci,keep,0.00,NA,NA
rs,HumanEval_141_file_name_check,davinci,transform,0.14,NA,NA
sh,HumanEval_114_minSubArraySum,davinci,transform,0.59,NA,NA
rb,HumanEval_64_vowels_count,incoder,keep,0.00,NA,NA
cs,HumanEval_147_get_max_triples,incoder,keep,0.00,NA,NA
pl,HumanEval_118_get_closest_vowel,davinci,remove,0.01,NA,NA
cs,HumanEval_133_sum_squares,davinci,reworded,0.99,1.00,1.00
scala,HumanEval_118_get_closest_vowel,incoder,remove,0.00,NA,NA
jl,HumanEval_36_fizz_buzz,incoder,transform,0.00,NA,NA
rkt,HumanEval_71_triangle_area,incoder,keep,0.00,NA,NA
pl,HumanEval_14_all_prefixes,incoder,transform,0.00,NA,NA
r,HumanEval_128_prod_signs,incoder,reworded,0.10,0.10,0.75
pl,HumanEval_144_simplify,incoder,keep,0.00,NA,NA
rkt,HumanEval_163_generate_integers,incoder,keep,0.00,NA,NA
go,HumanEval_116_sort_array,davinci,keep,0.00,NA,NA
cpp,HumanEval_0_has_close_elements,incoder,keep,0.17,NA,NA
d,HumanEval_34_unique,incoder,transform,0.00,NA,NA
pl,HumanEval_66_digitSum,davinci,transform,1.00,NA,NA
rs,HumanEval_62_derivative,incoder,remove,0.00,NA,NA
py,HumanEval_4_mean_absolute_deviation,incoder,remove,0.03,NA,NA
rs,HumanEval_105_by_length,davinci,transform,0.93,NA,NA
rkt,HumanEval_116_sort_array,incoder,reworded,0.00,0.00,0.00
lua,HumanEval_80_is_happy,davinci,keep,0.11,NA,NA
rs,HumanEval_75_is_multiply_prime,incoder,reworded,0.00,0.00,0.00
cs,HumanEval_98_count_upper,davinci,keep,0.46,NA,NA
rkt,HumanEval_0_has_close_elements,davinci,keep,0.01,NA,NA
cpp,HumanEval_90_next_smallest,incoder,transform,0.00,NA,NA
swift,HumanEval_150_x_or_y,incoder,keep,0.00,NA,NA
sh,HumanEval_102_choose_num,davinci,keep,0.06,NA,NA
rb,HumanEval_64_vowels_count,davinci,remove,0.00,NA,NA
php,HumanEval_86_anti_shuffle,davinci,keep,0.27,NA,NA
php,HumanEval_143_words_in_sentence,incoder,reworded,0.00,0.00,0.00
js,HumanEval_9_rolling_max,incoder,keep,0.14,NA,NA
ts,HumanEval_93_encode,davinci,keep,0.01,NA,NA
lua,HumanEval_120_maximum,incoder,keep,0.00,NA,NA
cs,HumanEval_75_is_multiply_prime,davinci,transform,0.01,NA,NA
js,HumanEval_136_largest_smallest_integers,davinci,reworded,0.94,1.00,1.00
rkt,HumanEval_116_sort_array,davinci,transform,0.00,NA,NA
jl,HumanEval_119_match_parens,davinci,remove,0.00,NA,NA
pl,HumanEval_37_sort_even,davinci,keep,0.20,NA,NA
swift,HumanEval_93_encode,incoder,remove,0.00,NA,NA
rkt,HumanEval_149_sorted_list_sum,davinci,remove,0.00,NA,NA
swift,HumanEval_1_separate_paren_groups,incoder,reworded,0.00,0.00,0.00
r,HumanEval_13_greatest_common_divisor,incoder,remove,0.00,NA,NA
scala,HumanEval_80_is_happy,davinci,remove,0.01,NA,NA
r,HumanEval_94_skjkasdkd,incoder,transform,0.00,NA,NA
pl,HumanEval_9_rolling_max,davinci,keep,0.90,NA,NA
js,HumanEval_78_hex_key,incoder,remove,0.00,NA,NA
pl,HumanEval_101_words_string,davinci,transform,0.00,NA,NA
cs,HumanEval_77_iscube,incoder,remove,0.00,NA,NA
jl,HumanEval_110_exchange,davinci,reworded,0.29,0.76,1.00
java,HumanEval_1_separate_paren_groups,davinci,reworded,0.00,0.76,1.00
rb,HumanEval_157_right_angle_triangle,incoder,transform,0.00,NA,NA
rkt,HumanEval_134_check_if_last_char_is_a_letter,davinci,keep,0.01,NA,NA
pl,HumanEval_52_below_threshold,incoder,remove,0.07,NA,NA
swift,HumanEval_17_parse_music,incoder,reworded,0.00,0.00,0.00
r,HumanEval_22_filter_integers,incoder,keep,0.00,NA,NA
swift,HumanEval_161_solve,incoder,transform,0.00,NA,NA
scala,HumanEval_76_is_simple_power,davinci,keep,0.50,NA,NA
cs,HumanEval_107_even_odd_palindrome,incoder,reworded,0.00,0.00,0.00
rb,HumanEval_77_iscube,incoder,reworded,0.00,0.00,0.00
d,HumanEval_79_decimal_to_binary,incoder,remove,0.00,NA,NA
rs,HumanEval_3_below_zero,incoder,reworded,0.00,0.44,1.00
cs,HumanEval_151_double_the_difference,davinci,keep,0.66,NA,NA
pl,HumanEval_2_truncate_number,davinci,keep,0.96,NA,NA
php,HumanEval_16_count_distinct_characters,incoder,keep,0.03,NA,NA
d,HumanEval_44_change_base,davinci,keep,0.00,NA,NA
sh,HumanEval_17_parse_music,davinci,keep,0.01,NA,NA
php,HumanEval_79_decimal_to_binary,davinci,transform,0.73,NA,NA
php,HumanEval_112_reverse_delete,davinci,remove,0.54,NA,NA
java,HumanEval_84_solve,davinci,keep,0.00,NA,NA
d,HumanEval_43_pairs_sum_to_zero,incoder,keep,0.00,NA,NA
lua,HumanEval_16_count_distinct_characters,incoder,reworded,0.00,0.00,0.00
jl,HumanEval_92_any_int,davinci,transform,0.00,NA,NA
rkt,HumanEval_74_total_match,davinci,remove,0.01,NA,NA
r,HumanEval_41_car_race_collision,incoder,reworded,0.00,0.05,0.50
py,HumanEval_152_compare,davinci,reworded,1.00,1.00,1.00
r,HumanEval_150_x_or_y,incoder,transform,0.00,NA,NA
lua,HumanEval_60_sum_to_n,incoder,transform,0.38,NA,NA
java,HumanEval_131_digits,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_29_filter_by_prefix,davinci,transform,0.99,NA,NA
cpp,HumanEval_52_below_threshold,davinci,transform,0.80,NA,NA
go,HumanEval_27_flip_case,davinci,transform,0.97,NA,NA
cs,HumanEval_5_intersperse,davinci,keep,0.00,NA,NA
ts,HumanEval_65_circular_shift,incoder,transform,0.00,NA,NA
go,HumanEval_80_is_happy,incoder,transform,0.01,NA,NA
rs,HumanEval_108_count_nums,incoder,remove,0.00,NA,NA
go,HumanEval_159_eat,davinci,remove,0.08,NA,NA
pl,HumanEval_87_get_row,incoder,remove,0.01,NA,NA
d,HumanEval_119_match_parens,davinci,remove,0.00,NA,NA
swift,HumanEval_95_check_dict_case,incoder,keep,0.00,NA,NA
cs,HumanEval_100_make_a_pile,davinci,keep,0.00,NA,NA
rkt,HumanEval_154_cycpattern_check,davinci,reworded,0.01,0.00,0.00
r,HumanEval_131_digits,davinci,keep,0.27,NA,NA
py,HumanEval_25_factorize,davinci,transform,0.97,NA,NA
php,HumanEval_138_is_equal_to_sum_even,incoder,reworded,0.00,0.00,0.00
cpp,HumanEval_114_minSubArraySum,davinci,keep,0.77,NA,NA
rs,HumanEval_107_even_odd_palindrome,incoder,keep,0.00,NA,NA
cs,HumanEval_148_bf,incoder,keep,0.00,NA,NA
sh,HumanEval_78_hex_key,davinci,remove,0.32,NA,NA
lua,HumanEval_89_encrypt,incoder,remove,0.00,NA,NA
ts,HumanEval_60_sum_to_n,davinci,keep,1.00,NA,NA
go,HumanEval_120_maximum,davinci,remove,0.00,NA,NA
swift,HumanEval_45_triangle_area,davinci,transform,1.00,NA,NA
pl,HumanEval_81_numerical_letter_grade,incoder,keep,0.00,NA,NA
rb,HumanEval_116_sort_array,davinci,keep,1.00,NA,NA
js,HumanEval_105_by_length,davinci,transform,0.78,NA,NA
pl,HumanEval_147_get_max_triples,incoder,remove,0.00,NA,NA
rs,HumanEval_100_make_a_pile,incoder,remove,0.00,NA,NA
ts,HumanEval_70_strange_sort_list,incoder,keep,0.00,NA,NA
d,HumanEval_1_separate_paren_groups,incoder,keep,0.00,NA,NA
lua,HumanEval_4_mean_absolute_deviation,incoder,transform,0.01,NA,NA
swift,HumanEval_56_correct_bracketing,davinci,keep,0.15,NA,NA
jl,HumanEval_18_how_many_times,incoder,reworded,0.00,0.00,0.00
pl,HumanEval_143_words_in_sentence,davinci,remove,0.00,NA,NA
rkt,HumanEval_152_compare,davinci,remove,0.95,NA,NA
lua,HumanEval_58_common,davinci,transform,0.01,NA,NA
jl,HumanEval_97_multiply,incoder,remove,0.00,NA,NA
lua,HumanEval_58_common,incoder,keep,0.00,NA,NA
sh,HumanEval_9_rolling_max,davinci,remove,0.20,NA,NA
scala,HumanEval_62_derivative,incoder,transform,0.00,NA,NA
pl,HumanEval_30_get_positive,incoder,reworded,0.00,0.05,0.50
py,HumanEval_106_f,incoder,reworded,0.00,0.05,0.50
pl,HumanEval_44_change_base,davinci,reworded,1.00,1.00,1.00
rkt,HumanEval_9_rolling_max,davinci,remove,0.12,NA,NA
ts,HumanEval_45_triangle_area,incoder,transform,0.89,NA,NA
r,HumanEval_75_is_multiply_prime,incoder,remove,0.00,NA,NA
rkt,HumanEval_125_split_words,davinci,remove,0.00,NA,NA
rs,HumanEval_5_intersperse,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_134_check_if_last_char_is_a_letter,davinci,keep,0.35,NA,NA
cpp,HumanEval_49_modp,incoder,transform,0.00,NA,NA
rs,HumanEval_159_eat,davinci,transform,0.44,NA,NA
cpp,HumanEval_4_mean_absolute_deviation,incoder,transform,0.00,NA,NA
js,HumanEval_98_count_upper,incoder,remove,0.07,NA,NA
cpp,HumanEval_150_x_or_y,davinci,remove,0.26,NA,NA
js,HumanEval_56_correct_bracketing,davinci,transform,1.00,NA,NA
py,HumanEval_152_compare,davinci,transform,1.00,NA,NA
rkt,HumanEval_156_int_to_mini_roman,davinci,remove,0.00,NA,NA
scala,HumanEval_66_digitSum,davinci,reworded,0.52,1.00,1.00
js,HumanEval_144_simplify,davinci,keep,0.10,NA,NA
rb,HumanEval_7_filter_by_substring,davinci,transform,1.00,NA,NA
rb,HumanEval_73_smallest_change,davinci,remove,0.01,NA,NA
d,HumanEval_58_common,davinci,keep,0.00,NA,NA
lua,HumanEval_159_eat,incoder,transform,0.00,NA,NA
pl,HumanEval_48_is_palindrome,incoder,remove,0.77,NA,NA
jl,HumanEval_154_cycpattern_check,incoder,reworded,0.00,0.00,0.00
py,HumanEval_59_largest_prime_factor,davinci,reworded,0.47,0.99,1.00
rkt,HumanEval_56_correct_bracketing,incoder,remove,0.00,NA,NA
cpp,HumanEval_114_minSubArraySum,incoder,reworded,0.00,0.00,0.00
scala,HumanEval_153_Strongest_Extension,davinci,transform,0.35,NA,NA
rb,HumanEval_21_rescale_to_unit,davinci,remove,0.96,NA,NA
rs,HumanEval_49_modp,incoder,keep,0.00,NA,NA
cs,HumanEval_82_prime_length,incoder,reworded,0.03,0.14,0.88
py,HumanEval_123_get_odd_collatz,davinci,keep,0.37,NA,NA
rs,HumanEval_97_multiply,davinci,remove,0.04,NA,NA
sh,HumanEval_67_fruit_distribution,incoder,remove,0.00,NA,NA
pl,HumanEval_157_right_angle_triangle,davinci,reworded,0.15,0.99,1.00
lua,HumanEval_154_cycpattern_check,incoder,transform,0.00,NA,NA
sh,HumanEval_73_smallest_change,davinci,transform,0.68,NA,NA
jl,HumanEval_132_is_nested,incoder,keep,0.00,NA,NA
js,HumanEval_18_how_many_times,incoder,remove,0.74,NA,NA
r,HumanEval_110_exchange,incoder,remove,0.00,NA,NA
sh,HumanEval_138_is_equal_to_sum_even,davinci,keep,0.00,NA,NA
rb,HumanEval_45_triangle_area,incoder,transform,0.00,NA,NA
lua,HumanEval_9_rolling_max,incoder,reworded,0.02,0.14,0.88
rs,HumanEval_144_simplify,davinci,remove,0.08,NA,NA
js,HumanEval_96_count_up_to,davinci,reworded,0.05,0.97,1.00
swift,HumanEval_160_do_algebra,davinci,reworded,0.00,0.00,0.00
jl,HumanEval_111_histogram,davinci,reworded,0.01,0.55,1.00
lua,HumanEval_64_vowels_count,davinci,keep,0.00,NA,NA
cpp,HumanEval_35_max_element,incoder,keep,0.99,NA,NA
rb,HumanEval_39_prime_fib,davinci,keep,0.00,NA,NA
d,HumanEval_5_intersperse,davinci,transform,0.16,NA,NA
go,HumanEval_102_choose_num,davinci,transform,0.11,NA,NA
py,HumanEval_42_incr_list,davinci,keep,1.00,NA,NA
sh,HumanEval_98_count_upper,davinci,reworded,0.20,0.93,1.00
d,HumanEval_16_count_distinct_characters,incoder,keep,0.00,NA,NA
lua,HumanEval_24_largest_divisor,incoder,remove,0.00,NA,NA
py,HumanEval_24_largest_divisor,incoder,transform,0.09,NA,NA
php,HumanEval_160_do_algebra,incoder,keep,0.00,NA,NA
go,HumanEval_17_parse_music,incoder,transform,0.00,NA,NA
swift,HumanEval_102_choose_num,davinci,transform,0.03,NA,NA
go,HumanEval_117_select_words,incoder,remove,0.00,NA,NA
rkt,HumanEval_51_remove_vowels,incoder,remove,0.00,NA,NA
lua,HumanEval_122_add_elements,incoder,transform,0.00,NA,NA
scala,HumanEval_63_fibfib,davinci,keep,0.77,NA,NA
sh,HumanEval_6_parse_nested_parens,davinci,keep,0.34,NA,NA
java,HumanEval_7_filter_by_substring,davinci,remove,1.00,NA,NA
jl,HumanEval_107_even_odd_palindrome,incoder,keep,0.00,NA,NA
scala,HumanEval_73_smallest_change,davinci,keep,0.03,NA,NA
swift,HumanEval_146_specialFilter,incoder,transform,0.00,NA,NA
php,HumanEval_13_greatest_common_divisor,incoder,remove,0.02,NA,NA
jl,HumanEval_92_any_int,incoder,reworded,0.00,0.00,0.00
java,HumanEval_65_circular_shift,davinci,transform,0.01,NA,NA
cpp,HumanEval_33_sort_third,davinci,reworded,0.17,0.85,1.00
java,HumanEval_158_find_max,davinci,remove,0.04,NA,NA
r,HumanEval_30_get_positive,davinci,keep,0.00,NA,NA
py,HumanEval_7_filter_by_substring,davinci,transform,1.00,NA,NA
lua,HumanEval_98_count_upper,incoder,reworded,0.00,0.05,0.50
py,HumanEval_53_add,davinci,keep,1.00,NA,NA
py,HumanEval_160_do_algebra,incoder,keep,0.00,NA,NA
lua,HumanEval_148_bf,davinci,keep,0.43,NA,NA
go,HumanEval_119_match_parens,davinci,transform,0.00,NA,NA
java,HumanEval_141_file_name_check,davinci,reworded,0.16,0.34,1.00
