lang,problem,model,temp,variation,pass@1,n(t=0.2),pass@10,n(t=0.8),pass@100
pl,HumanEval_23_strlen,davinci,0.2,noargnames,0.98,200,NA,NA,NA
pl,HumanEval_57_monotonic,davinci,0.2,noargnames,0.29,200,NA,NA,NA
pl,HumanEval_114_minSubArraySum,davinci,0.2,noargnames,0.16,200,NA,NA,NA
pl,HumanEval_106_f,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_40_triples_sum_to_zero,davinci,0.2,noargnames,0.37,200,NA,NA,NA
pl,HumanEval_111_histogram,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_142_sum_squares,davinci,0.2,noargnames,0.08,200,NA,NA,NA
pl,HumanEval_107_even_odd_palindrome,davinci,0.2,noargnames,0.07,200,NA,NA,NA
pl,HumanEval_75_is_multiply_prime,davinci,0.2,noargnames,0.04,200,NA,NA,NA
pl,HumanEval_5_intersperse,davinci,0.2,noargnames,0.98,200,NA,NA,NA
pl,HumanEval_34_unique,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_131_digits,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_81_numerical_letter_grade,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_89_encrypt,davinci,0.2,noargnames,0.08,200,NA,NA,NA
pl,HumanEval_103_rounded_avg,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_121_solution,davinci,0.2,noargnames,0.06,200,NA,NA,NA
pl,HumanEval_31_is_prime,davinci,0.2,noargnames,0.52,200,NA,NA,NA
pl,HumanEval_152_compare,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_104_unique_digits,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_17_parse_music,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_98_count_upper,davinci,0.2,noargnames,0.35,200,NA,NA,NA
pl,HumanEval_83_starts_one_ends,davinci,0.2,noargnames,0.16,200,NA,NA,NA
pl,HumanEval_20_find_closest_elements,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_126_is_sorted,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_24_largest_divisor,davinci,0.2,noargnames,0.76,200,NA,NA,NA
pl,HumanEval_65_circular_shift,davinci,0.2,noargnames,0.06,200,NA,NA,NA
pl,HumanEval_105_by_length,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_162_string_to_md5,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_4_mean_absolute_deviation,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_59_largest_prime_factor,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_140_fix_spaces,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_153_Strongest_Extension,davinci,0.2,noargnames,0.13,200,NA,NA,NA
pl,HumanEval_108_count_nums,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_71_triangle_area,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_18_how_many_times,davinci,0.2,noargnames,0.34,200,NA,NA,NA
pl,HumanEval_82_prime_length,davinci,0.2,noargnames,0.26,200,NA,NA,NA
pl,HumanEval_95_check_dict_case,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_119_match_parens,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_158_find_max,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_42_incr_list,davinci,0.2,noargnames,0.08,200,NA,NA,NA
pl,HumanEval_7_filter_by_substring,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_76_is_simple_power,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_43_pairs_sum_to_zero,davinci,0.2,noargnames,0.23,200,NA,NA,NA
pl,HumanEval_146_specialFilter,davinci,0.2,noargnames,0.08,200,NA,NA,NA
pl,HumanEval_96_count_up_to,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_120_maximum,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_79_decimal_to_binary,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_97_multiply,davinci,0.2,noargnames,0.12,200,NA,NA,NA
pl,HumanEval_67_fruit_distribution,davinci,0.2,noargnames,0.98,200,NA,NA,NA
pl,HumanEval_139_special_factorial,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_58_common,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_148_bf,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_151_double_the_difference,davinci,0.2,noargnames,0.05,200,NA,NA,NA
pl,HumanEval_13_greatest_common_divisor,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_2_truncate_number,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_22_filter_integers,davinci,0.2,noargnames,0.04,200,NA,NA,NA
pl,HumanEval_74_total_match,davinci,0.2,noargnames,0.77,200,NA,NA,NA
pl,HumanEval_10_make_palindrome,davinci,0.2,noargnames,0.08,200,NA,NA,NA
pl,HumanEval_52_below_threshold,davinci,0.2,noargnames,0.64,200,NA,NA,NA
pl,HumanEval_138_is_equal_to_sum_even,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_48_is_palindrome,davinci,0.2,noargnames,0.85,200,NA,NA,NA
pl,HumanEval_41_car_race_collision,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_85_add,davinci,0.2,noargnames,0.87,200,NA,NA,NA
pl,HumanEval_137_compare_one,davinci,0.2,noargnames,0.10,200,NA,NA,NA
pl,HumanEval_117_select_words,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_0_has_close_elements,davinci,0.2,noargnames,0.04,200,NA,NA,NA
pl,HumanEval_101_words_string,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_149_sorted_list_sum,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_53_add,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_86_anti_shuffle,davinci,0.2,noargnames,0.98,200,NA,NA,NA
pl,HumanEval_157_right_angle_triangle,davinci,0.2,noargnames,0.18,200,NA,NA,NA
pl,HumanEval_39_prime_fib,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_99_closest_integer,davinci,0.2,noargnames,0.03,200,NA,NA,NA
pl,HumanEval_35_max_element,davinci,0.2,noargnames,0.26,200,NA,NA,NA
pl,HumanEval_45_triangle_area,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_84_solve,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_144_simplify,davinci,0.2,noargnames,0.71,200,NA,NA,NA
pl,HumanEval_115_max_fill,davinci,0.2,noargnames,0.02,200,NA,NA,NA
pl,HumanEval_60_sum_to_n,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_55_fib,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_68_pluck,davinci,0.2,noargnames,0.61,200,NA,NA,NA
pl,HumanEval_116_sort_array,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_15_string_sequence,davinci,0.2,noargnames,0.29,200,NA,NA,NA
pl,HumanEval_91_is_bored,davinci,0.2,noargnames,0.04,200,NA,NA,NA
pl,HumanEval_56_correct_bracketing,davinci,0.2,noargnames,0.99,200,NA,NA,NA
pl,HumanEval_160_do_algebra,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_150_x_or_y,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_110_exchange,davinci,0.2,noargnames,0.06,200,NA,NA,NA
pl,HumanEval_159_eat,davinci,0.2,noargnames,0.19,200,NA,NA,NA
pl,HumanEval_145_order_by_points,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_3_below_zero,davinci,0.2,noargnames,0.14,200,NA,NA,NA
pl,HumanEval_134_check_if_last_char_is_a_letter,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_155_even_odd_count,davinci,0.2,noargnames,0.43,200,NA,NA,NA
pl,HumanEval_109_move_one_ball,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_30_get_positive,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_62_derivative,davinci,0.2,noargnames,0.62,200,NA,NA,NA
pl,HumanEval_66_digitSum,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_123_get_odd_collatz,davinci,0.2,noargnames,0.00,200,NA,NA,NA
pl,HumanEval_118_get_closest_vowel,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_44_change_base,davinci,0.2,noargnames,1.00,200,NA,NA,NA
pl,HumanEval_19_sort_numbers,davinci,0.2,noargnames,0.29,200,NA,NA,NA
pl,HumanEval_47_median,davinci,0.2,noargnames,0.06,200,NA,NA,NA
pl,HumanEval_154_cycpattern_check,davinci,0.2,noargnames,0.70,200,NA,NA,NA
pl,HumanEval_143_words_in_sentence,davinci,0.2,noargnames,0.01,200,NA,NA,NA
pl,HumanEval_27_flip_case,davinci,0.2,noargnames,0.74,200,NA,NA,NA
pl,HumanEval_9_rolling_max,davinci,0.2,noargnames,0.09,200,NA,NA,NA
pl,HumanEval_28_concatenate,davinci,0.2,noargnames,0.26,200,NA,NA,NA
pl,HumanEval_124_valid_date,davinci,0.2,noargnames,0.92,200,NA,NA,NA
pl,HumanEval_136_largest_smallest_integers,davinci,0.2,noargnames,0.27,200,NA,NA,NA
