problem,pass,total
HumanEval_73_smallest_change,199,200
HumanEval_74_total_match,0,200
HumanEval_75_is_multiply_prime,21,200
HumanEval_76_is_simple_power,55,200
HumanEval_77_iscube,37,200
HumanEval_78_hex_key,190,200
HumanEval_79_decimal_to_binary,113,200
HumanEval_8_sum_product,0,200
HumanEval_80_is_happy,157,200
HumanEval_81_numerical_letter_grade,0,200
HumanEval_82_prime_length,92,200
HumanEval_83_starts_one_ends,0,200
HumanEval_84_solve,2,200
HumanEval_85_add,171,200
HumanEval_86_anti_shuffle,0,200
HumanEval_87_get_row,0,200
HumanEval_88_sort_array,0,200
HumanEval_89_encrypt,187,200
HumanEval_9_rolling_max,0,200
HumanEval_90_next_smallest,24,200
HumanEval_91_is_bored,27,200
HumanEval_92_any_int,0,200
HumanEval_93_encode,12,200
HumanEval_94_skjkasdkd,25,200
HumanEval_95_check_dict_case,0,200
HumanEval_96_count_up_to,0,200
HumanEval_97_multiply,140,200
HumanEval_98_count_upper,4,200
HumanEval_99_closest_integer,113,200
